AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
0,70001221;8,106479645;8,34667175;23,59612242;2,476979733;7,1102;34,50980377;42;102;1629;10,93000031;22;17,074;36,11769485;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,69995118;9,232379913;8,46676775;22,91775022;1,125900268;7,1609;27,84313774;42;103;1629;12,85000038;22;17,0855;36,16093826;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,5;11,70935917;8,643158735;22,15095757;2,476979257;7,2194;4,705882549;42;104;1849;14,81999969;22;17,0393;36,18777847;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997559;13,73598003;8,853326735;21,58786291;2,02662086;7,2545;56,47058868;42;102;967;9,43999958;22;17,0508;35,79736328;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,5;15,31223869;9,086012713;21,28591838;1,57625866;7,3247;38,03921509;43;100;1121;8,06000042;20;17,0586;35,18285751;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,40002441;16,43813896;9,326204697;21,29875232;1,12590027;7,3013;38,4313736;43;100;1250;9,199999809;20;17,0586;34,61700439;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,29998779;17,33885956;9,615185689;20,8278022;0,9007206;7,2077;48,62745285;43;102;1250;13,10999966;20;17,1048;34,4126091;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;19,14029884;9,907919671;21,18308801;1,80143928;7,1181;45,88235474;43;107;1363;14,89999962;21;17,1473;34,229702;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;20,49137878;10,20440665;22,11211113;1,35107994;7,0986;25,09803963;43;103;1509;11,59000015;22;17,1357;33,75385666;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,09997559;20,71656036;10,51965865;22,68723821;0,22518158;7,3443;0;43;101;1503;10,89000034;20;17,128;33,19510269;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,2000122;18,6899395;10,82740465;21,92613215;-2,02662086;7,4417;0;43;101;1351;12,11999989;21;17,1009;32,90083694;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,40002441;14,63669968;11,05258464;20,52527071;-4,05323982;7,4222;25,09803963;43;100;1044;9,050000191;20;17,0507;32,57619858;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,40002441;13,73598003;11,16142164;20,38445413;-0,90071965;7,4027;77,64705658;43;101;951;10,06999969;17;17,0661;32,44311523;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997559;15,53741932;11,25149364;20,68284619;1,80143929;7,2467;72,94117737;43;105;1127;12,34000015;21;17,1046;32,35058975;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,70001221;19,36548042;11,38284864;21,78025958;3,8280611;7,0441;58,4313736;43;111;1350;15,43000031;21;17,1818;32,25397491;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,79998779;22,74317932;11,57425163;23,93015226;3,3776989;6,8921;48,23529434;44;117;1592;19,29000092;23;17,2203;32,201931;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1;24,99497986;11,78441964;26,92690754;2,25180054;6,7557;40,7843132;44;122;1760;22,26000023;23;17,1662;32,15929794;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,89996338;27,02159882;12,03962363;30,79569145;2,02661896;6,6661;31,76470566;44;115;1908;18,67000008;23;17,1624;31,97676086;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,7000122;28,14749908;12,35487562;34,95874238;1,12590026;6,7051;29,80392265;44;113;1980;18,78000069;22;17,12;31,78227425;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,40002442;29,04821777;12,72266959;39,05481481;0,90071869;6,7246;25,49019623;44;111;2039;16,73999977;22;17,1508;31,49593163;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,2999878;29,27339935;13,11673458;42,68695662;0,22518158;6,7363;24,70588303;44;110;2080;17,68000031;21;17,1084;31,25893784;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,2999878;29,7237606;13,51455259;46,30662306;0,45036125;6,7948;21,96078491;45;110;2095;17,37999916;21;17,0466;30,99839592;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,20001221;29,49857903;13,88985258;49,77010267;-0,22518157;6,7714;22,35294151;45;109;2106;17,26000023;21;17,008;30,7443409;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;29,7237606;14,2576466;53,2232699;0,22518157;6,7675;23,52941132;45;109;2103;17,37999916;21;16,9849;30,50523567;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,2000122;29,94893837;14,62168758;56,62035858;0,22517777;6,7051;20;45;110;2093;17,67000008;21;17,0042;30,28587532;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,09997558;29,7237606;15,0195056;59,02233536;-0,22517777;6,6583;14,90196133;45;109;2106;17,34000015;21;16,8651;30,06390953;SmoothCondition;LowCongestionCondition;AggressiveStyle
-0,09997558;29,27339935;15,42482959;60,58167461;-0,45036125;6,7908;0;45;108;2019;17,70000076;21;16,7764;29,88149261;SmoothCondition;LowCongestionCondition;AggressiveStyle
-0,09997558;27,02159882;15,80388257;60,60916172;-2,25180053;6,896;0;45;105;1876;19,36000061;21;16,7069;29,78616524;SmoothCondition;LowCongestionCondition;AggressiveStyle
0;23,41871834;16,13039355;59,05270111;-3,60288048;6,8727;16,07843208;45;105;1671;16,48999977;21;16,7108;29,67400742;SmoothCondition;LowCongestionCondition;AggressiveStyle
0;21,61728096;16,41562157;57,1890114;-1,80143738;6,8376;23,13725471;46;104;1531;11,90999985;20;16,838;29,44122124;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,29998779;21,61728096;16,64080159;56,4258429;0;6,6895;34,11764908;46;102;1507;10,78999996;18;16,95;29,18708611;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997558;21,84246063;16,80968661;56,44324634;0,22517967;6,7324;11,37254906;46;101;1554;11,65999985;18;16,8998;28,96084404;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997558;20,71656036;16,92978263;56,50283317;-1,12590027;6,748;37,25490189;46;102;1493;11,56000042;18;16,7533;28,76361084;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,80004882;21,39209938;17,01610163;56,82404294;0,67553902;6,8728;33,72549057;46;104;1517;12,47999954;19;16,788;28,61151695;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,7000122;22,0676384;17,09491461;57,24846942;0,67553902;7,0093;22,35294151;46;102;1481;11,52000046;19;16,6992;28,40139961;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997558;20,71656036;17,15496262;57,46710704;-1,35107804;7,0288;13,33333397;46;102;1440;13,35000038;19;16,707;28,26982117;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997558;20,26619911;17,20375161;57,62817742;-0,45036125;7,1184;33,33333206;46;101;1471;10,35999966;19;16,7803;28,0674057;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,79998779;20,71656036;17,24503461;57,8174084;0,45036125;7,0755;44,70588303;46;104;1545;11,56999969;19;16,9305;27,92440033;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,7000122;22,29281998;17,33510664;58,2388701;1,57625962;7,1145;40;46;107;1675;13,67000008;20;16,9845;27,81617737;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,29998779;23,64389992;17,50023864;58,66617596;1,35107994;7,1457;28,23529434;46;106;1647;14,23999977;21;16,9151;27,70964241;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,10003662;23,41871834;17,74043061;57,97863647;-0,22518158;7,1145;22,74509811;46;103;1652;12,64999962;20;16,9768;27,53723717;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;23,64389992;18,01815261;56,52861598;0,22518158;6,9975;36,47058868;46;105;1742;12,38000011;20;17,0192;27,37991333;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,10003662;24,99497986;18,29212161;55,76007598;1,35107994;6,9117;35,29411697;47;109;1869;14,63000011;20;17,1272;27,27841377;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,09997559;26,3460598;18,5510786;55,84210831;1,35107994;6,8493;38,03921509;47;116;1928;18,11000061;21;17,2234;27,22694778;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,5;25,89570045;18,76875261;56,15448056;-0,45035935;6,8103;43,13725662;47;124;2090;21,32999992;22;17,2697;27,21545219;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,60003662;27,47196007;18,99768561;56,9557077;1,57625962;6,8103;38,03921509;47;127;2214;24,14999962;22;17,432;27,21888924;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,20001221;29,49857903;19,2603956;58,28523693;2,02661896;6,6934;38,82352829;47;129;2318;23,20000076;22;17,5168;27,19197464;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,19995118;31,3000164;19,55688255;60,09236137;1,80143737;6,5921;27,45098114;47;124;2355;24,62999916;21;17,5709;27,16484642;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,5;33,32663727;19,91717052;62,13022708;2,02662087;6,5258;26,66666794;47;118;2367;20,57999992;21;17,6056;27,07034683;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,7999878;32,65110016;20,30748252;62,78866109;-0,67553711;6,4049;45,09804153;48;129;2484;29,85000038;20;17,5324;27,00844002;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1,40002442;34,90289688;20,71655947;64,55135356;2,25179672;6,4283;38,82352829;48;141;2563;24,89999962;21;17,517;26,95384789;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;35,35326004;21,13689547;66,10427625;0,45036316;6,405;5,882352829;48;112;1533;17,03000069;21;17,6443;26,77157784;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,09997559;36,02880096;21,59100851;67,06618725;0,67554092;6,3738;56,86274719;48;115;1580;19,51000023;19;17,6829;26,63860512;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;35,12807465;22,01885043;67,49074072;-0,90072631;6,4088;47,45098114;49;120;1640;13,32999992;20;17,6213;26,30853271;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;36,25397873;22,4617044;68,14653875;1,12590408;6,3699;0,392156869;49;107;1566;15,64000034;20;17,6985;26,09768486;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,29998779;35,35326004;22,90455843;67,5921527;-0,90071869;6,5491;0;49;104;1468;13,78999996;18;17,6291;25,86222839;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,7000122;32,42591858;23,3248944;64,77186605;-2,92734146;6,5647;0;49;103;1362;14,46000004;19;17,6406;25,69339943;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,5;32,42591858;23,77525438;60,52631039;0;6,5608;38,82352829;49;105;1353;14,68000031;18;17,5444;25,53554726;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,89996338;32,65110016;24,25563838;54,88298724;0,22518158;6,5452;74,50980377;50;110;1433;17,21999931;19;17,5252;25,417799;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2,79998779;34,45253754;24,73602234;50,53040407;1,80143738;6,4438;53,72549057;50;116;1507;16,82999992;20;17,5406;25,28533554;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,90002442;35,35326004;25,19013535;47,54414862;0,9007225;6,5218;34,11764908;50;109;1490;12,31000042;20;17,4905;25,01681328;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,80004882;33,77699661;25,5992123;44,30759932;-1,57626343;6,6738;0;50;103;1415;13,82999992;19;17,502;24,8330555;SmoothCondition;LowCongestionCondition;AggressiveStyle
3;31,97555923;25,9369823;41,61072586;-1,80143738;6,7362;0;50;103;1402;10,68999958;18;17,4443;24,57134056;SmoothCondition;LowCongestionCondition;AggressiveStyle
3,09997559;31,75038147;26,23722232;39,56873449;-0,22517776;6,8999;38,03921509;50;102;1322;9,300000191;17;17,3288;24,26801872;SmoothCondition;LowCongestionCondition;AggressiveStyle
4;28,82304001;26,46240234;37,6075281;-2,92734146;7,0597;0,392156869;50;101;1234;11,27000046;18;17,3095;24,08848763;SmoothCondition;LowCongestionCondition;AggressiveStyle
3,90002442;27,02159882;26,63879334;35,87803687;-1,80144119;7,1572;0;50;101;1126;10,14000034;18;17,24;23,90163612;SmoothCondition;LowCongestionCondition;AggressiveStyle
4;24,54461861;26,75888933;34,4717897;-2,47698021;7,2702;0;50;101;1034;10,75;18;17,1976;23,7812767;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,90002441;22,0676384;26,80767832;33,85860482;-2,47698021;7,356;15,29411793;50;102;926;5,809999943;17;17,0972;23,45047379;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,09997559;18,6899395;26,77765433;34,29840071;-3,3776989;7,4924;19,2156868;50;100;1003;6,349999905;17;17,0702;23,25974655;SmoothCondition;LowCongestionCondition;AggressiveStyle
1;15,08705902;26,68382931;35,98323071;-3,60288048;7,7262;26,66666794;50;100;905;5,340000153;16;17,0471;23,1027565;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,59997559;11,0338192;26,5562273;39,03481725;-4,05323982;7,8352;29,80392265;50;100;877;5,789999962;16;17,0162;23,06480789;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,20001221;7,430940151;26,43613131;42,81170009;-3,602879049;7,8197;28,23529434;50;100;882;5,619999886;17;16,9352;23,11175728;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,40002441;6,079859734;26,30852931;47,08470032;-1,351080417;7,7611;36,47058868;50;100;900;10,28999996;18;17,0123;23,22014046;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1,59997559;9,007200241;26,19969232;50,17975875;2,927340507;7,5778;50,19607925;50;101;1464;17,96999931;21;17,0508;23,33840179;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-2;13,73598003;26,10586731;52,01212289;4,728779789;7,4491;30,58823586;50;115;1515;13,85999966;23;17,0701;23,39056396;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-2,29998779;14,41152;25,96700633;54,11878638;0,67553997;7,227;94,50980377;50;107;1107;12,68000031;21;17,1703;23,42009354;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-2;18,91511917;25,86567531;54,93519652;4,50359917;7,1218;60,39215851;50;108;1382;16,14999962;20;17,3319;23,45006752;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1,59997559;21,1669178;25,7680973;55,27707576;2,25179863;7,1218;44,70588303;50;112;1539;13,39999962;21;17,328;23,43046188;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-1;22,29281998;25,67051931;55,37613867;1,12590218;7,1179;41,96078491;50;110;1664;14,77999973;21;17,3126;23,41255188;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,59997559;22,29281998;25,55792935;55,36324742;0;7,114;44,70588303;51;112;1813;21,20000076;21;17,3858;23,44154739;SmoothCondition;LowCongestionCondition;EvenPaceStyle
-0,20001221;20,94173813;25,41906833;55,4708332;-1,35108185;7,0634;40,7843132;51;121;1998;17,92000008;22;17,4514;23,42302704;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,5;24,09425926;25,32524331;55,17755447;3,15252113;7,001;30,19607925;51;116;2055;17,92000008;21;17,436;23,39801598;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,89996338;24,09425926;25,23517131;54,89978859;0;6,9932;19,6078434;51;112;2053;16,05999947;20;17,4398;23,3508606;SmoothCondition;LowCongestionCondition;EvenPaceStyle
1,39996338;24,99497986;25,1563583;54,55296772;0,9007206;6,927;27,45098114;51;111;2077;16,15999985;20;17,4283;23,3059063;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,79998779;24,76979828;25,0700393;54,15862105;-0,22518158;6,888;14,50980377;51;109;2042;16,73999977;20;17,4128;23,26908112;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,90002441;28,37267876;25,04752127;53,97590718;3,60288048;6,927;12,15686321;52;107;1954;15,86999989;20;17,436;23,22917366;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,90002441;27,47196007;25,01749728;53,77193721;-0,90071869;6,9387;0;52;106;1752;17,31999969;20;17,4437;23,22700882;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,89996338;21,84246063;24,93117831;53,86714699;-5,62949944;6,9426;0;52;105;1573;15,39999962;20;17,5055;23,21912766;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,7999878;15,53741932;24,79982332;55,30646775;-6,30504131;6,9387;0;52;104;1389;14,82999992;20;17,4978;23,22786903;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,90002442;13,96115971;24,6722213;57,10936803;-1,57625961;6,8842;0;52;103;1178;12,46000004;19;17,4824;23,23470879;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,90002441;14,18633938;24,54837228;58,79921115;0,22517967;6,8219;0;52;102;999;6,349999905;18;17,5326;23,14725113;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;12,61007977;24,39449926;61,06667312;-1,57625961;6,9699;23,13725471;52;101;880;5,480000019;16;17,5287;23,06327629;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;9,90791893;24,21435524;64,36136232;-2,70216084;7,1453;27,45098114;52;100;871;5,980000019;16;17,4439;23,09222031;SmoothCondition;LowCongestionCondition;EvenPaceStyle
2;9,232379913;24,01169325;67,98899187;-0,675539017;7,3209;30,19607925;52;100;853;5,190000057;16;17,3784;23,16456604;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,09997559;5,40432024;23,73397128;73,71487681;-3,828059673;7,4573;29,01960754;52;100;844;5,239999771;16;17,3205;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,59997559;2,927339792;23,43748427;80,80872211;-2,476980448;7,5548;29,01960754;52;100;849;5,170000076;16;17,2396;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,90002441;1,12590003;23,11847928;88,97217788;-1,801439762;7,6172;29,01960754;52;100;811;5,159999847;16;17,0703;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
3,2000122;0;22,77320328;97,81187176;-1,12590003;7,6328;28,62745094;52;100;804;5,050000191;17;17,0626;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,7000122;0;22,40165628;106,4577224;0;7,6913;29,01960754;52;100;807;4,849999905;17;17,051;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,40002441;0;22,00759128;114,7793123;0;7,7381;28,62745094;52;100;797;4,75;17;17,0048;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
2,10003662;0;21,61727931;122,7996883;0;7,7498;34,11764908;52;100;796;5,289999962;17;16,9663;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,80004882;0;21,22321431;130,4926094;0;7,7303;30,19607925;52;100;789;5,159999847;18;16,9778;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,60003662;0;20,80663131;137,7093234;0;7,7654;29,41176605;52;100;793;5,260000229;18;16,9701;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
1,40002441;0;20,36753031;144,3307142;0;7,742;30,58823586;52;100;807;4,75;18;16,9817;23,25811005;SmoothCondition;LowCongestionCondition;AggressiveStyle
0,90002441;0;19,93593531;150,6544289;0;7,7108;36,07843018;52;100;776;5,230000019;18;16,9701;23,25811005;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0,40002441;0;19,47806931;156,2149607;0;7,6212;31,37254906;52;100;807;4,949999809;18;17,0087;23,25811005;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;0;18,98642632;160,697703;0;7,5588;37,25490189;52;100;821;5,570000172;18;17,0126;23,25811005;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;0;18,46475938;163,9609522;0;7,5121;27,84313774;52;100;842;5,090000153;18;17,0357;23,25811005;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;0;17,90931543;165,6823224;0;7,4653;27,84313774;52;100;820;4,949999809;18;17,0511;23,25811005;SmoothCondition;LowCongestionCondition;EvenPaceStyle
0;0;17,36513042;167,1341042;0;7,3874;29,41176605;52;100;803;5,070000172;18;17,082;23,25811005;SmoothCondition;LowCongestionCondition;EvenPaceStyle
